"","species","country","ISO","status","threat","threat_no_DD","Traded","prod","pet","pet_prod","UT_trade","Cites_trade","HC_trade","IUCN_text_trade","Source","taxa","Order","Family","genus","phyloname","phyloFamily","Body","ED","ED_95_taxa","ED_95_fam","Cites_type","Cites_purpose","Cites_pet","Cites_prod","UT_type","UT_trade_inter","UT_trade_nat","UT_trade_local","UT_trade_all","Cites_year","Cites_appendices","Cites_name","TradeCitesOrg","AppIcites","AppIIcites","AppIIIcites","AppNcites","Cites_splus","Cites_splus_listing","Cites_splus_name","Cites_lookalike","lookalike_only","API","HC_checked","HC_checked_by","keyword","IUCN_text_checked"
"59","Megophrys parallela","Indonesia","ID","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Megophryidae","Megophrys","Xenophrys parallela","Megophryidae",NA,5.76495858587574,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"60","Litoria umarensis","Indonesia","ID","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hylidae","Litoria","Litoria umarensis","Hylidae",55.0556051183739,10.9086726059233,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"61","Litoria micromembrana","Indonesia","ID","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hylidae","Litoria","Litoria micromembrana","Hylidae",35.5,17.4761099520733,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"62","Litoria modica","Indonesia","ID","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hylidae","Litoria","Litoria modica","Hylidae",35.4,18.4497093200733,"no","no",NA,NA,0,0,"Food - human",0,0,1,1,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"63","Lithobates catesbeianus","Indonesia","ID","LC",0,0,1,1,1,"pet/prod",1,1,0,1,"CITES, IUCN","Amphibian","Anura","Ranidae","Lithobates","Rana catesbeiana","Ranidae",203,7.01373829444129,"no","no","live, skins","TRUE",1,1,"Food - human",1,1,1,1,"2003, 2004, 2005, 2006, 2008, 2009, 2010","N","Lithobates catesbeianus",1,0,0,0,1,0,"0","0","0",0,0,NA,NA,0,1
"64","Sylvirana nigrovittata","Indonesia","ID","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Ranidae","Sylvirana","Hylarana nigrovittata","Ranidae",NA,13.5938782926917,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"65","Papurana novaeguineae","Indonesia","ID","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Ranidae","Papurana","Hylarana novaeguineae","Ranidae",NA,23.3667915988169,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"66","Chaperina fusca","Indonesia","ID","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Chaperina","Chaperina fusca","Microhylidae",22.4,75.1544047893557,"yes","yes",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"67","Oreophryne sibilans","Indonesia","ID","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Oreophryne","Oreophryne sibilans","Microhylidae",26,30.9598039975311,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"68","Oreophryne unicolor","Indonesia","ID","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Oreophryne","Oreophryne unicolor","Microhylidae",29,22.4578213393828,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
